,fd,fs,pmp
628,0.30000000000000004,0.22,0.3664138236683461
629,0.30000000000000004,0.23,0.3658143104391763
630,0.30000000000000004,0.24,0.3647945745142955
631,0.30000000000000004,0.25,0.35970740265535645
632,0.30000000000000004,0.26,0.35951873825213343
633,0.30000000000000004,0.27,0.35930233968948877
634,0.30000000000000004,0.28,0.3590489003785229
635,0.30000000000000004,0.29,0.35874281658674423
636,0.30000000000000004,0.3,0.35835676697209873
637,0.30000000000000004,0.31,0.357833007747569
638,0.30000000000000004,0.32,0.357016247146002
639,0.30000000000000004,0.33,0.3550621687422997
640,0.30000000000000004,0.34,0.35199241600979086
641,0.30000000000000004,0.35000000000000003,0.3517882594252835
642,0.30000000000000004,0.36,0.35155110576790666
643,0.30000000000000004,0.37,0.35126825921453897
644,0.30000000000000004,0.38,0.3509175987320634
645,0.30000000000000004,0.39,0.3504564369836711
646,0.30000000000000004,0.4,0.3497812382850431
647,0.30000000000000004,0.41000000000000003,0.3484987388918587
648,0.30000000000000004,0.42,0.34492209236139354
649,0.30000000000000004,0.43,0.3447279410585896
650,0.30000000000000004,0.44,0.3445041419291301
651,0.30000000000000004,0.45,0.3442398407786134
652,0.30000000000000004,0.46,0.3439171881699059
653,0.30000000000000004,0.47000000000000003,0.34350284506697043
654,0.30000000000000004,0.48,0.3429231741879727
655,0.30000000000000004,0.49,0.34195140327795787
656,0.30000000000000004,0.5,0.3381873355065811
657,0.30000000000000004,0.51,0.33800326705966405
658,0.30000000000000004,0.52,0.3377925565532201
659,0.30000000000000004,0.53,0.337546025366953
660,0.30000000000000004,0.54,0.33724916876139677
